tr_id,tau,xi,y_sys,y_phase
0,3.830000,-1.407567,-0.136951,0.137107
0,3.840000,-1.408866,-0.122868,0.123043
0,3.850000,-1.410024,-0.108774,0.108970
0,3.860000,-1.411041,-0.094668,0.094894
0,3.870000,-1.411918,-0.080554,0.080818
0,3.880000,-1.412652,-0.066431,0.066751
0,3.890000,-1.413246,-0.052301,0.052707
0,3.900000,-1.413698,-0.038166,0.038719
0,3.910000,-1.414009,-0.024027,0.024890
0,3.920000,-1.414179,-0.009886,0.011805
0,3.930000,-1.414207,0.004256,0.007726
0,3.940000,-1.414094,0.018397,0.019803
0,3.950000,-1.413839,0.032537,0.033383
0,3.960000,-1.413443,0.046674,0.047273
0,3.970000,-1.412906,0.060805,0.061268
0,3.980000,-1.412227,0.074931,0.075308
0,3.990000,-1.411407,0.089049,0.089367
0,4.000000,-1.410446,0.103159,0.103433
0,4.010000,-1.409344,0.117258,0.117499
0,4.020000,-1.408101,0.131345,0.131561
0,4.030000,-1.406717,0.145419,0.145614
0,4.040000,-1.405193,0.159479,0.159657
0,4.050000,-1.403528,0.173523,0.173686
0,4.060000,-1.401722,0.187549,0.187700
0,4.070000,-1.399777,0.201557,0.201698
0,4.080000,-1.397691,0.215544,0.215676
0,4.090000,-1.395466,0.229510,0.229634
0,4.100000,-1.393101,0.243453,0.243570
0,4.110000,-1.390597,0.257372,0.257482
0,4.120000,-1.387954,0.271265,0.271369
0,4.130000,-1.385172,0.285130,0.285230
0,4.140000,-1.382251,0.298968,0.299062
0,4.150000,-1.379192,0.312775,0.312866
0,4.160000,-1.375996,0.326551,0.326638
0,4.170000,-1.372662,0.340294,0.340378
0,4.180000,-1.369190,0.354004,0.354084
0,4.190000,-1.365582,0.367678,0.367755
0,4.200000,-1.361837,0.381315,0.381389
0,4.210000,-1.357955,0.394914,0.394986
0,4.220000,-1.353938,0.408474,0.408543
0,4.230000,-1.349786,0.421992,0.422060
0,4.240000,-1.345499,0.435469,0.435534
0,4.250000,-1.341077,0.448902,0.448965
0,4.260000,-1.336521,0.462290,0.462351
0,4.270000,-1.331831,0.475632,0.475691
0,4.280000,-1.327008,0.488926,0.488984
0,4.290000,-1.322053,0.502172,0.502228
0,4.300000,-1.316965,0.515367,0.515422
0,4.310000,-1.311746,0.528510,0.528564
0,4.320000,-1.306395,0.541601,0.541654
0,4.330000,-1.300914,0.554638,0.554689
0,4.340000,-1.295303,0.567619,0.567669
0,4.350000,-1.289562,0.580544,0.580592
0,4.360000,-1.283692,0.593410,0.593458
0,4.370000,-1.277694,0.606217,0.606264
0,4.380000,-1.271568,0.618963,0.619009
0,4.390000,-1.265315,0.631648,0.631693
0,4.400000,-1.258935,0.644269,0.644313
0,4.410000,-1.252429,0.656826,0.656869
0,4.420000,-1.245799,0.669317,0.669360
0,4.430000,-1.239043,0.681742,0.681783
0,4.440000,-1.232164,0.694098,0.694139
0,4.450000,-1.225162,0.706385,0.706425
0,4.460000,-1.218037,0.718601,0.718640
0,4.470000,-1.210790,0.730745,0.730784
0,4.480000,-1.203422,0.742816,0.742854
0,4.490000,-1.195934,0.754813,0.754851
0,4.500000,-1.188326,0.766734,0.766771
0,4.510000,-1.180599,0.778579,0.778615
0,4.520000,-1.172755,0.790346,0.790382
0,4.530000,-1.164793,0.802034,0.802069
0,4.540000,-1.156714,0.813641,0.813676
0,4.550000,-1.148520,0.825168,0.825202
0,4.560000,-1.140211,0.836611,0.836645
0,4.570000,-1.131788,0.847971,0.848005
0,4.580000,-1.123252,0.859247,0.859280
0,4.590000,-1.114603,0.870436,0.870469
0,4.600000,-1.105844,0.881538,0.881571
0,4.610000,-1.096973,0.892553,0.892584
0,4.620000,-1.087993,0.903478,0.903509
0,4.630000,-1.078904,0.914312,0.914343
0,4.640000,-1.069707,0.925055,0.925086
0,4.650000,-1.060403,0.935706,0.935736
0,4.660000,-1.050993,0.946263,0.946293
0,4.670000,-1.041478,0.956725,0.956755
0,4.680000,-1.031859,0.967092,0.967122
0,4.690000,-1.022136,0.977362,0.977391
0,4.700000,-1.012312,0.987535,0.987563
0,4.710000,-1.002386,0.997608,0.997637
0,4.720000,-0.992360,1.007582,1.007610
0,4.730000,-0.982235,1.017455,1.017483
0,4.740000,-0.972011,1.027226,1.027254
0,4.750000,-0.961691,1.036895,1.036922
0,4.760000,-0.951274,1.046460,1.046487
0,4.770000,-0.940762,1.055920,1.055947
0,4.780000,-0.930156,1.065275,1.065301
0,4.790000,-0.919457,1.074523,1.074549
0,4.800000,-0.908666,1.083664,1.083690
0,4.810000,-0.897784,1.092696,1.092722
0,4.820000,-0.886812,1.101619,1.101645
0,4.830000,-0.875752,1.110432,1.110457
0,4.840000,-0.864604,1.119134,1.119159
0,4.850000,-0.853369,1.127724,1.127749
0,4.860000,-0.842050,1.136201,1.136226
0,4.870000,-0.830646,1.144564,1.144589
0,4.880000,-0.819159,1.152813,1.152838
0,4.890000,-0.807590,1.160947,1.160972
0,4.900000,-0.795940,1.168965,1.168989
0,4.910000,-0.784211,1.176866,1.176890
0,4.920000,-0.772403,1.184649,1.184673
0,4.930000,-0.760518,1.192314,1.192337
0,4.940000,-0.748557,1.199859,1.199883
0,4.950000,-0.736522,1.207285,1.207308
0,4.960000,-0.724412,1.214589,1.214613
0,4.970000,-0.712230,1.221773,1.221796
0,4.980000,-0.699977,1.228834,1.228857
0,4.990000,-0.687654,1.235772,1.235795
0,5.000000,-0.675262,1.242586,1.242609
0,5.010000,-0.662803,1.249277,1.249300
0,5.020000,-0.650277,1.255842,1.255865
0,5.030000,-0.637686,1.262282,1.262305
0,5.040000,-0.625032,1.268596,1.268618
0,5.050000,-0.612315,1.274783,1.274805
0,5.060000,-0.599537,1.280842,1.280864
0,5.070000,-0.586698,1.286773,1.286795
0,5.080000,-0.573801,1.292576,1.292598
0,5.090000,-0.560847,1.298249,1.298271
0,5.100000,-0.547837,1.303792,1.303814
0,5.110000,-0.534772,1.309206,1.309227
0,5.120000,-0.521653,1.314488,1.314509
0,5.130000,-0.508483,1.319638,1.319660
0,5.140000,-0.495261,1.324657,1.324679
0,5.150000,-0.481990,1.329543,1.329565
0,5.160000,-0.468671,1.334297,1.334318
0,5.170000,-0.455304,1.338917,1.338938
0,5.180000,-0.441893,1.343403,1.343424
0,5.190000,-0.428437,1.347754,1.347775
0,5.200000,-0.414938,1.351971,1.351992
0,5.210000,-0.401398,1.356053,1.356074
0,5.220000,-0.387817,1.359999,1.360020
0,5.230000,-0.374198,1.363809,1.363830
0,5.240000,-0.360542,1.367483,1.367504
0,5.250000,-0.346849,1.371020,1.371041
0,5.260000,-0.333122,1.374420,1.374440
0,5.270000,-0.319361,1.377682,1.377703
0,5.280000,-0.305569,1.380807,1.380828
0,5.290000,-0.291745,1.383794,1.383814
0,5.300000,-0.277893,1.386642,1.386662
0,5.310000,-0.264013,1.389351,1.389372
0,5.320000,-0.250107,1.391922,1.391942
